tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_late.rt,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_both,Audiogram_none,Audiogram_time,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,7,0,7,0,19,0,19,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.1746754000196,None,,,,,"[0.656979927845418, 0.656979927845418, 0.656979927845418, 0.656979927845418]","[574.9374672807422, 283.09236617218284, 143.6732516665372, 3981.400804029796]",None,"[26.209190244689157, 21.0, 16.48237047555321, 17.003046537838127]",True,1226.187702300027,1229.1811045000213,1229.1811045000213,1230.4114252,None,1,3.666203466593288,4.693289166607428,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242.224889300007,None,2828.42712474619,13.0,0.0002925150664956155,1,"[0.7231108697923236, 0.7231108697923236, 0.7231108697923236, 0.7231108697923236]","[4489.848193237493, 4000.000000000001, 3563.594872561358, 3174.8021039363994]",Tone,"[15.0, 17.003046537838127, 18.0, 18.242212058307175]",False,1243.2080388999893,1246.3937099000323,1246.3937099000323,1247.6432577000232,['space'],1,3.916641366726253,4.949468566686846,None,1,,['space'],0,[-2.083606299944222],[0.43562080000992864],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.2151247999864,None,138.9974133416961,10.482370475553209,0.001999377774892743,1,"[0.6550986540018002, 0.6550986540018002, 0.6550986540018002, 0.6550986540018002]","[350.2515339002829, 277.99482668339226, 220.64464015946706, 175.1257669501414]",Major_3rd,"[27.619031884387162, 21.0, 16.0, 15.301736209859286]",False,1249.227230300021,1252.21338630002,1252.21338630002,1253.4333937999909,['space'],1,3.6503528666798957,4.676974966656417,None,1,,None,1,,[0.6162362000322901],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.958854400029,None,769.3553674431985,12.0,0.00015829320779947275,0,"[0.6832981826738163, 0.7128671819280152, 0.7479570735373924, 0.7795708372625337]","[2535.5180151325753, 3177.6160069690704, 3729.9690877439116, 510.93033493441175]",None,"[17.495035524627113, 18.242212058307175, 17.730040329576703, 29.0]",False,1254.9754549000063,1258.1625649000052,1258.1625649000052,1259.3877894000034,None,0,3.957944566674996,4.99801946664229,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.0280691999942,None,125.0,13.0,0.003228271145173279,1,"[0.7125981425141861, 0.4820481221612256, 0.4654258095078822, 0.6150272774910732]","[4203.768818740008, 857.5011324834362, 5692.53609628713, 161.19459618232324]",None,"[16.01533696934428, 16.0, 12.460225176586967, 15.593117235502163]",False,1262.6052657000255,1265.290419100027,1265.290419100027,1266.506643300003,['space'],1,3.2967244666651823,4.336340966634452,None,1,,None,1,,[0.5296273999847472],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.9977232000092,None,144.27933872859168,10.482370475553209,0.0018421829718164367,1,"[0.422673178371868, 0.422673178371868, 0.422673178371868, 0.422673178371868]","[2952.491658052694, 139.24114971615447, 747.9250441677495, 2899.857592328685]",None,"[18.0, 16.48237047555321, 19.0, 18.0]",False,1267.9937978999806,1270.2768081999966,1270.2768081999966,1271.514823400008,['space'],1,2.7286294667283073,3.759470166696701,None,1,,None,1,,[0.48491709999507293],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.8069565999904,None,406.12619817811805,11.0,0.0002705144975577382,1,"[0.6192259297547971, 0.6192259297547971, 0.6192259297547971, 0.6192259297547971]","[4236.741082898899, 1272.8801598966534, 7671.116062204, 339.2323734398803]",None,"[16.01533696934428, 15.0, 15.0, 25.999999999999996]",False,1274.182404000021,1277.066003200016,1277.066003200016,1278.3004522999981,['space'],1,3.509160566609353,4.545208866591565,None,1,,None,1,,[0.5278160000452772],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.784076299984,None,1703.9486040341112,11.633147810913545,0.0002344973190643037,1,"[0.5623023632846713, 0.5623023632846713, 0.5623023632846713, 0.5623023632846713]","[2255.9905636906547, 1762.7941116627771, 1662.1309387145693, 1334.153242803599]",None,"[17.481046052572484, 17.633147810913545, 17.32461680880577, 15.401470255701224]",False,1279.804489000002,1282.5138409999781,1282.5138409999781,1283.7399242999963,['space'],1,3.2839906666777097,4.302797566691879,None,1,,None,1,,[0.6131487000384368],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284.175816199975,None,2956.9329410634605,12.0,0.00022891252626711827,1,"[0.5581715588719605, 0.4435843155278217, 0.7037295464798448, 0.7316646230860328]","[290.30041334318497, 3912.761092190075, 7907.187227435562, 2167.0398228198387]",None,"[22.0, 17.003046537838127, 15.678064134582272, 17.568232151664297]",False,1285.1856980000157,1287.9109229000169,1287.9109229000169,1289.1305167999817,['space'],1,3.4626831667264923,4.508730566711165,None,1,,None,1,,[0.431143100024201],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.7489818999893,None,,,,,"[0.6447140609145273, 0.6447140609145273, 0.6447140609145273, 0.6447140609145273]","[271.0368254390191, 691.2970524306289, 2092.526851792896, 520.1024197865044]",None,"[20.0, 21.0, 17.568232151664297, 29.0]",True,1290.7591091999784,1293.709727199981,1293.709727199981,1294.9392244999763,None,1,3.6102296666358598,4.645321266609244,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.4621162000112,None,233.2582478842019,16.0,0.0012637002588482907,0,"[0.439198815823889, 0.439198815823889, 0.439198815823889, 0.439198815823889]","[146.94348828545108, 164.9384888466118, 185.13719403582056, 207.80947403569698]",Tone,"[16.48237047555321, 15.593117235502163, 15.196392041115487, 15.349362697800428]",False,1296.4936649000156,1298.8390658000135,1298.8390658000135,1300.0753429000033,None,0,2.7986414332990535,3.816540233325213,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.366531800013,None,4287.0938501451765,10.0,0.00032790902571992465,1,"[0.4902353739627526, 0.4902353739627526, 0.4902353739627526, 0.4902353739627526]","[343.42326854974533, 625.1004265029846, 193.59524100360687, 356.9449499403772]",None,"[27.0, 24.0, 15.196392041115487, 28.0]",False,1301.3798412000178,1303.8685391999898,1303.8685391999898,1305.101131399977,['space'],1,2.988219933351502,4.007757233339362,None,1,,None,1,,[0.5616706000291742],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.4415834000101,None,289.7841324184967,15.463078262892944,0.0007434066850621936,1,"[0.5122158621337507, 0.5122158621337507, 0.5122158621337507, 0.5122158621337507]","[460.00363664481375, 409.81665022675895, 365.10512835958735, 325.2716908420204]",Tone,"[30.282871582023972, 30.194537947803656, 28.0, 25.0]",False,1306.4582219999866,1309.019097900018,1309.019097900018,1310.235630500014,['space'],1,3.0644442666089162,4.098256266617682,None,1,,None,1,,[0.5151763000176288],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.6155176999746,None,6062.8662660415985,3.0,0.00016785531344773265,0,"[0.411667736851073, 0.49404485766940087, 0.504357294057321, 0.4155274496908212]","[365.85611809407277, 807.5762192953518, 3766.4078233765067, 703.4976210300961]",None,"[28.0, 17.0, 17.730040329576703, 20.28160917266453]",False,1311.6417074999772,1314.071218200028,1314.071218200028,1315.3113221999956,None,0,2.8339895665994845,3.861165866605006,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.5647583000246,None,,,,,"[0.6963699837454311, 0.6963699837454311, 0.6963699837454311, 0.6963699837454311]","[1420.2942578816119, 1094.9724360344965, 482.981475060657, 362.18500316871365]",None,"[16.129914452154452, 14.089441365949824, 30.0, 28.0]",True,1316.5755063000252,1319.6782134000096,1319.6782134000096,1320.8975963999983,None,1,3.821404966642149,4.852919066674076,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.4766128999763,None,900.6096665366688,9.0,0.00011619512723762555,1,"[0.6541399240598136, 0.6015087282570546, 0.5517262304188305, 0.6510156678465153]","[535.8704269604152, 7584.547215680578, 390.3124503293207, 896.0931106738686]",None,"[27.9687080657157, 15.0, 30.0, 15.0]",False,1322.494604300009,1325.333386400016,1325.333386400016,1326.5636964000296,['space'],1,3.482408966694493,4.505039966665208,None,1,,None,1,,[0.5889304000302218],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.052808700013,None,1414.213562373095,10.0,0.00015948106227772936,1,"[0.5185900895794746, 0.7685083434263306, 0.7195078028317997, 0.6873904401834194]","[3963.703066371032, 2742.9449478948436, 1652.3074399209797, 292.1274026405]",None,"[17.003046537838127, 17.869204681409798, 17.32461680880577, 22.0]",False,1329.8246227999916,1332.865157400025,1332.865157400025,1334.0857343000243,['space'],1,3.7296192666399293,4.756145066639874,None,1,,None,1,,[0.4404801999917254],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.6384892999777,None,,,,,"[0.7308736376976102, 0.42475908896488884, 0.5132024114316049, 0.6792698700971571]","[300.5810161143232, 1397.6035597353891, 358.6741361985501, 6457.942740999734]",None,"[23.0, 16.0, 28.0, 12.789279036862018]",True,1335.653891200025,1338.3465361000272,1338.3465361000272,1339.5713897999958,None,1,3.391507666616235,4.425659866654314,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.1311004000017,None,1148.6983549970344,10.0,0.00015897423808843036,0,"[0.4274370452436009, 0.4274370452436009, 0.4274370452436009, 0.4274370452436009]","[1823.4449771164332, 1624.5047927124706, 1447.2692374403775, 1289.3703084395786]",Tone,"[17.73603578707793, 17.32461680880577, 16.129914452154452, 15.0]",False,1341.1616413000156,1343.4642616999918,1343.4642616999918,1344.679311099986,None,0,2.733990266744513,3.775504366727546,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.9966766000143,None,1564.637272854876,11.0,0.000190758672703907,0,"[0.5400290282227375, 0.5400290282227375, 0.5400290282227375, 0.5400290282227375]","[7885.277742079867, 5262.791495664053, 3512.491916299751, 2344.307098663492]",Perfect_5th,"[15.678064134582272, 13.0, 18.14131397789337, 17.481046052572484]",False,1346.0085530999932,1348.6471935000154,1348.6471935000154,1349.884290600021,None,0,3.181809366622474,4.199126566643827,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,8,0,8,0,19,0,19,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.263538900006,None,177.94838658137363,9.301736209859286,0.0010089128450431056,1,"[0.45723748013713617, 0.45723748013713617, 0.45723748013713617, 0.45723748013713617]","[247.34928977674, 1256.6189504210645, 1367.9738083438604, 2742.2867839637815]",None,"[17.918162811098448, 15.0, 16.0, 17.869204681409798]",False,1351.2628799999948,1353.6592063999851,1353.6592063999851,1354.8812895999872,['space'],1,2.868508166691754,3.884959366696421,None,1,,None,1,,[0.7706646000151522],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384.326742300007,None,,,,,"[0.6609689381647332, 0.6609689381647332, 0.6609689381647332, 0.6609689381647332]","[274.2352801462054, 244.31585955111123, 217.66068609544016, 193.9136262319744]",Tone,"[20.0, 17.918162811098448, 15.82279187518521, 15.196392041115487]",True,1385.315922299982,1388.3219723000075,1388.3219723000075,1389.5527069999953,None,1,3.667658266669605,4.6908702666987665,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.0587579000276,None,6062.8662660415985,1.0,0.0001333322148200284,0,"[0.7736558319413405, 0.7736558319413405, 0.7736558319413405, 0.7736558319413405]","[297.64223350706084, 665.9927376313955, 895.35548763429, 1121.877764644774]",None,"[23.0, 22.0, 15.0, 14.273568653459192]",False,1391.0679083000286,1394.4057260000263,1394.4057260000263,1395.621042200015,None,0,4.1230701666208915,5.139346266631037,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396.268364700023,None,274.340257036349,14.0,0.0007101644329325842,1,"[0.7343391358041006, 0.7343391358041006, 0.7343391358041006, 0.7343391358041006]","[150.34536147022072, 6551.454006691383, 634.6019700083344, 4161.687585803399]",None,"[16.00998635593256, 12.789279036862018, 23.0, 16.01533696934428]",False,1397.294500900025,1400.5366082999972,1400.5366082999972,1401.776980900031,['space'],1,3.9606487666023895,4.988851166621316,None,1,,None,1,,[0.590542700025253],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402.3558741000015,None,,,,,"[0.7475251709056271, 0.7475251709056271, 0.7475251709056271, 0.7475251709056271]","[1294.5969427677971, 1231.3596555084828, 687.6681039680458, 7618.132042543205]",None,"[15.401470255701224, 14.7385252899293, 21.0, 15.0]",True,1403.35463050002,1406.6207769999746,1406.6207769999746,1407.8508701000246,None,1,4.032482366717886,5.062943766708486,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408.4694346000324,None,466.5164957684038,14.0,0.00036664650895603605,1,"[0.7157496356026909, 0.7157496356026909, 0.7157496356026909, 0.7157496356026909]","[185.1371940358206, 233.25824788420195, 293.8869765709023, 370.27438807164117]",Major_3rd,"[15.196392041115487, 16.67353767314307, 22.0, 29.0]",False,1409.4909868999966,1412.6716037000297,1412.6716037000297,1413.8987040999928,['space'],1,3.87696293334011,4.900519833317958,None,1,,None,1,,[0.4737394999829121],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.4491439000121,None,130.58585136182762,11.0,0.0023878589064885605,1,"[0.4846759926428964, 0.4616129546921318, 0.7566714284142534, 0.6218299246348445]","[1272.7624296282856, 2384.3102447764554, 276.4387276331701, 157.6332827726543]",None,"[15.0, 17.495035524627113, 20.0, 16.0]",False,1415.4739158999873,1418.1961399000138,1418.1961399000138,1419.428346999979,['space'],1,3.362935566692613,4.3960504666902125,None,1,,None,1,,[0.48080850002588704],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.9302447999944,None,203.0630990890589,10.0,0.0008204245696818118,0,"[0.7610127523665225, 0.536529788412354, 0.47446992325719517, 0.424250285786029]","[182.64945148202355, 181.29012253077045, 160.61789731440172, 3550.4616968024516]",None,"[15.301736209859286, 15.301736209859286, 15.593117235502163, 18.0]",False,1422.650850099977,1425.4570895999786,1425.4570895999786,1426.6831540000276,None,0,3.219020100077614,4.258756000024732,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.9711254999856,None,,,,,"[0.6945083927232738, 0.528315111411214, 0.4000692273932931, 0.7544045224637537]","[679.6689190601215, 216.2274672333194, 3826.805706081408, 804.0599578146965]",None,"[21.0, 15.82279187518521, 17.730040329576703, 17.0]",True,1427.988470399985,1430.648209100007,1430.648209100007,1431.8753711000318,None,1,3.393121966626495,4.42405546666123,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,9,0,9,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432.465580900025,None,212.73616289181365,9.82279187518521,0.0007451367777048408,0,"[0.5552900256429705, 0.5291742379009787, 0.794980482929379, 0.4865189576189073]","[5254.3955767868265, 2553.974886594209, 494.47978300938564, 150.89057345757428]",None,"[13.0, 17.634980621918327, 29.379301110301753, 16.00998635593256]",False,1433.487015700026,1436.4098834000179,1436.4098834000179,1437.6358584000263,None,0,3.4024684666655958,4.425950366654433,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
