tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,8,0,8,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.799516399973,None,164.93848884661182,-11.0,0.00011080062683274643,0,"[0.531132999629736, 0.531132999629736, 0.531132999629736, 0.531132999629736]","[1085.0320785255617, 567.6910629808234, 696.1668230253687, 5432.431288246892]",None,"[8.0, 3.6061119610441996, 9.0, -3.5611283207333813]",False,1245.821384400013,1248.4323739999672,1248.4323739999672,1249.6605999000603,None,0,3.1582254666136578,4.197089866618626,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0851578000002,None,707.1067811865476,-4.0,2.801636609927772e-05,0,"[0.7889815774638328, 0.6963419597155001, 0.5220297968980059, 0.4408284250098361]","[530.8830995503014, 1016.8440668189744, 684.2443127636819, 1531.879231287722]",None,"[2.3060730557172535, 11.0, 9.0, -2.5412642016218587]",False,1251.1133957999991,1254.1460979999974,1254.1460979999974,1255.3800720999716,None,0,3.478720666724257,4.51198126678355,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.6880336999893,None,,,,,"[0.77797553742466, 0.49704276529230673, 0.7459724520121984, 0.5482814378472958]","[188.24674056590607, 211.29982200317005, 237.17603101308418, 266.22109358083384]",Tone,"[10.543619371000801, 10.432425410968461, 10.0, 8.785576129843362]",True,1256.7118651999626,1259.7546197000192,1259.7546197000192,1260.9991225999547,None,1,3.5913598666666076,4.616434666677378,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261.3762974999845,None,757.8582832551998,-1.0,3.590334647509541e-05,1,"[0.7608891209017989, 0.43115239813731704, 0.585452738748835, 0.6933819471299612]","[1203.025036082118, 1071.7734625362943, 954.8416039104176, 850.6671609508566]",Tone,"[4.0, 8.709070939796105, 12.0, 13.68805040169973]",False,1262.4032562000211,1265.2113104000455,1265.2113104000455,1266.4250755000394,['space'],1,3.4886229666881263,4.507276366697624,None,1,None,1,,[0.25447869999334216],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.9861949000042,None,1166.7511752949636,-1.0,4.547800931454445e-05,1,"[0.6922211886879119, 0.6922211886879119, 0.6922211886879119, 0.6922211886879119]","[6899.470765393248, 321.5898406419452, 1277.5569205806821, 2322.726458929873]",None,"[-6.3705667153290815, 6.0, 1.0, 7.0]",False,1267.9975372999907,1271.1137085000519,1271.1137085000519,1272.3507652999833,['space'],1,3.787345466669649,4.826471666689031,None,1,None,1,,[0.5540255999658257],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.881357199978,None,1091.1600591461956,2.0,6.02589768868206e-05,1,"[0.7458107287199136, 0.48067675410324834, 0.6963025801166367, 0.6275605916134519]","[4425.795341448041, 363.73629233851335, 1111.2301538775926, 165.58834776947617]",None,"[-2.0, 4.0, 7.0, 10.245471099602025]",False,1273.8831048000138,1276.8211719000246,1276.8211719000246,1278.0530544000212,['space'],1,3.5709123666165397,4.611389466677792,None,1,None,1,,[0.3713372000493109],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.5552828999935,None,,,,,"[0.46690651505656217, 0.6980705404410785, 0.5208084493806833, 0.6808366248913511]","[2291.652333418945, 2572.2927721823835, 2887.3010139152334, 3240.8858101650226]",Tone,"[6.990211164607461, 9.0, 9.878919472691907, 7.715417315930713]",True,1279.575088600046,1282.2769321999513,1282.2769321999513,1283.4959669000236,None,1,3.385781866731122,4.404498966760002,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284.0288441999583,None,125.0,1.0,0.0008109050486794653,1,"[0.4088293439365053, 0.6001228868417743, 0.614865712843477, 0.48873636940496706]","[2913.7210207319463, 145.68742994625467, 747.1293326645073, 6142.841838481342]",None,"[9.878919472691907, 9.883499719674859, 11.950290616201528, -4.306355949430751]",False,1285.0613189999713,1287.731537100044,1287.731537100044,1288.9690702999942,['space'],1,3.1244683667318895,4.157492466736585,None,1,['space'],0,[-3.732588900020346],[0.009593900060281157],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.2916298999917,None,4000.0,-2.0,6.667607160816621e-05,0,"[0.796583577090628, 0.796583577090628, 0.796583577090628, 0.796583577090628]","[6349.6042078728005, 5656.854249492382, 5039.684199579494, 4489.8481932374925]",Tone,"[-5.0, -3.8431547423451313, -3.1701608221140987, -2.0]",False,1290.3743585000047,1293.8058229000308,1293.8058229000308,1295.0464103999548,None,0,4.20450163341593,5.251623633434065,None,1,['space'],0,[0.658409700030461],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,8,0,8,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.6947285999777,None,7843.74005959519,-15.0,3.1440409672235565e-05,0,"[0.7144762954065174, 0.4229009651677184, 0.44490970711719224, 0.7253265209322699]","[4941.246605493822, 5546.361786004332, 6225.580610983256, 6987.977964519383]",Tone,"[-3.1701608221140987, -3.8431547423451313, -4.306355949430751, -6.3705667153290815]",False,1296.6939783999696,1299.3091620999621,1299.3091620999621,1300.54720130004,None,0,3.354558266699314,4.387685966677964,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.1415991999675,None,,,,,"[0.5934084403182478, 0.6857206991378884, 0.622004504817095, 0.6961256455984894]","[709.7533343797732, 5914.375986842174, 4584.862038647531, 623.199145381548]",None,"[10.0, -4.0, -2.3823907161649984, 6.0]",True,1327.1249909000471,1330.0423843000317,1330.0423843000317,1331.2776233999757,None,1,3.619666666723788,4.648903466761112,None,1,['space'],0,[0.6290874999249354],,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.8244233999867,None,543.4172290103718,-3.6939269442827465,4.2268537228345e-05,1,"[0.44065700570445837, 0.44065700570445837, 0.44065700570445837, 0.44065700570445837]","[2738.6512228228416, 1827.830399447714, 1219.930431923171, 814.2058799229563]",Perfect_5th,"[9.878919472691907, 0.0, 3.0, 13.29151386160071]",False,1332.8306381000439,1335.1790295999963,1335.1790295999963,1336.4168413999723,['space'],1,2.7862796667031944,3.8091497666900977,None,1,None,1,,[0.38204910000786185],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.7011174999643,None,6062.8662660415985,-15.0,2.1131731960402576e-05,0,"[0.7910346284010565, 0.7910346284010565, 0.7910346284010565, 0.7910346284010565]","[5285.928171210691, 796.8483503644137, 6790.425130079176, 5568.682617627299]",None,"[-3.5611283207333813, 13.0, -6.0, -3.8431547423451313]",False,1337.7149914000183,1341.1215097999666,1341.1215097999666,1342.36073700001,None,0,4.192992266849615,5.224211866734549,None,1,['space'],0,[0.43026180006563663],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.00317479996,None,3049.5374146289037,3.0,8.40627940672703e-05,1,"[0.7048198726561961, 0.7048198726561961, 0.7048198726561961, 0.7048198726561961]","[271.613847959317, 583.5102558972607, 468.62686470419027, 1667.697876613585]",None,"[8.785576129843362, 4.0, 1.5121754791380786, -2.0]",False,1344.0099456000607,1347.161970700021,1347.161970700021,1348.3932177999523,['space'],1,3.854079066775739,4.881571166682988,None,1,None,1,,[0.27938070008531213],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.9518162000459,None,2143.5469250725882,-6.0,3.9089510241962354e-05,0,"[0.6226263595465132, 0.6226263595465132, 0.6226263595465132, 0.6226263595465132]","[425.3335804754283, 637.2803136596317, 954.8416039104175, 1430.6459324352597]",Perfect_5th,"[2.0, 7.0, 12.0, -1.7074087051123037]",False,1349.9873424000107,1352.9015813999576,1352.9015813999576,1354.1331281999592,None,0,3.514424833236262,4.543096933281049,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.59196910006,None,1071.7734625362941,-1.0,4.193738612628088e-05,0,"[0.7810797390264937, 0.7374585725165455, 0.5493920469840514, 0.7669132797545899]","[675.1749730840954, 757.8582832551996, 850.6671609508563, 954.8416039104173]",Tone,"[8.0, 11.950290616201528, 13.68805040169973, 12.0]",False,1355.601057699998,1358.7054018999916,1358.7054018999916,1359.9417486999882,None,0,3.858417266746983,4.8869052667869255,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.553904099972,None,1866.0659830736151,-7.0,3.0715860445343604e-05,0,"[0.4659319832251272, 0.4659319832251272, 0.4659319832251272, 0.4659319832251272]","[840.7381798253679, 5747.549672637649, 127.30543535868138, 2400.9287145625353]",None,"[13.29151386160071, -4.0, 9.490574947021436, 8.0]",False,1361.578938200022,1364.014561100048,1364.014561100048,1365.2473297000397,None,0,2.8990448333788663,3.933434833306819,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.5693044000072,None,2753.212123667498,3.8789194726919067,0.00010965688006979507,0,"[0.7814586459048705, 0.7814586459048705, 0.7814586459048705, 0.7814586459048705]","[764.9882753741838, 336.6672100058605, 479.1462331144853, 1632.6078758715778]",None,"[12.0, 5.72092724128576, 1.5121754791380786, -2.3652269246217106]",False,1366.599479699973,1369.9865569999674,1369.9865569999674,1371.218125400017,None,0,4.153485166840255,5.196054966771044,None,1,['space'],0,[0.652855799999088],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371.8565501000267,None,303.20410205772305,1.0,0.00012467624110156387,1,"[0.7719337387266801, 0.7017394529480308, 0.5947666497888021, 0.44712727691105536]","[5461.693244664696, 459.18234377670353, 5795.608717577503, 171.31948568454862]",None,"[-3.5611283207333813, 1.5121754791380786, -4.0, 10.41839078124893]",False,1372.8685978000285,1375.9581599000376,1375.9581599000376,1377.19439780002,['space'],1,3.560434566810727,4.586228166823275,None,1,None,1,,[0.3398442000616342],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.5201911999611,None,125.0,-7.0,0.00032282711451732784,1,"[0.6139396998178969, 0.6139396998178969, 0.6139396998178969, 0.6139396998178969]","[631.9370667029506, 7673.160024226229, 756.605016186755, 135.491866540405]",None,"[6.0, -8.0, 11.950290616201528, 9.701383027368967]",False,1378.5631996999728,1381.4374077999964,1381.4374077999964,1382.661838699947,['space'],1,3.4955800333991647,4.531704033375718,None,1,None,1,,[0.46924729994498193],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.153364000027,None,,,,,"[0.47963170278872314, 0.5599660197771723, 0.5797763780334401, 0.45527646087189644]","[642.3610469362028, 3333.16935113211, 3206.2706593535486, 1531.8285020552466]",None,"[7.0, 7.0, 8.0, -2.5412642016218587]",True,1384.1519659999758,1386.803785199998,1386.803785199998,1388.0392983000493,['space'],0,3.1171446667285636,4.160795466625132,None,1,None,1,,[0.2516788000939414],0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388.363527199952,None,2297.3967099940687,-2.0,6.466169967930508e-05,1,"[0.47701692711624916, 0.48526064341197306, 0.6702075213701115, 0.45322729433290343]","[223.64655836432553, 1200.0450844161037, 570.9593421654339, 175.47472326310339]",None,"[10.432425410968461, 4.0, 3.6061119610441996, 10.41839078124893]",False,1389.3999395000283,1392.0778321999824,1392.0778321999824,1393.311622499954,['space'],1,3.112787333317101,4.143031333340332,None,1,None,1,,[0.5271740999305621],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393.6011642999947,None,906.5184522488547,7.000626279128747,9.26797202389215e-05,1,"[0.774011513020497, 0.7544668581459713, 0.7874281093127427, 0.5290615630451264]","[1495.2225127526087, 874.6611383300266, 707.7087151378237, 198.87254527029262]",None,"[-2.5412642016218587, 13.68805040169973, 10.0, 10.567047562418644]",False,1394.5991646000184,1397.9508663000306,1397.9508663000306,1399.1852858000202,['space'],1,3.88669036666397,4.918423166614957,None,1,None,1,,[0.39579720003530383],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.588857499999,None,690.6965309016765,3.0,6.475355606040678e-05,1,"[0.47372327183838, 0.47372327183838, 0.47372327183838, 0.47372327183838]","[804.7563847148735, 499.4127506391419, 3019.341722626955, 140.43018460472362]",None,"[13.0, 1.6183389177672183, 9.206231582890727, 9.883499719674859]",False,1400.6045651000459,1403.0544620000292,1403.0544620000292,1404.289755100035,['space'],1,2.9150376666802913,3.9477791666286066,None,1,None,1,,[0.08091380004771054],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.6209051000187,None,3748.2613340083544,-3.0,5.6296666024657054e-05,1,"[0.6295823876573333, 0.4761028520063649, 0.7330139629664001, 0.45996852832609414]","[1487.4984961641474, 1874.1306670041774, 2361.256677612082, 2974.9969923282943]",Major_3rd,"[-2.5412642016218587, 0.4637274025716689, 8.0, 9.206231582890727]",False,1405.6418816000223,1408.5263058999553,1408.5263058999553,1409.7610205999808,['space'],1,3.3205806666519493,4.351482266676612,None,1,None,1,,[0.8612936000572518],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,9,0,9,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.067830099957,None,,,,,"[0.4117114773816706, 0.4117114773816706, 0.4117114773816706, 0.4117114773816706]","[6098.7976459994, 878.0659226873453, 3689.142323183001, 5308.740211550203]",None,"[-4.306355949430751, 13.68805040169973, 4.0, -3.5611283207333813]",True,1411.0808570999652,1413.3329957999522,1413.3329957999522,1414.5651559999678,['space'],0,2.683254166622646,3.717386266682297,None,1,None,1,,[0.6203935999656096],0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
