tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0193978000898,None,,,,,,,,"[0.5237016759974983, 0.41646989135823004, 0.6706966245657822, 0.7005023291930487]","[1693.1238614468334, 1334.7120800575242, 170.9700527086216, 1535.8042237296615]",None,"[4.0, 6.146476095889664, 7.0, 5.809690816193903]",True,338.03825440001674,340.6729532000609,340.6729532000609,341.9073993000202,['space'],0,3.3525229601655155,None,None,1,,[0.5453258999623358],0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.95824609999545,None,1650620443.6236231,1650620445.0566742,1.4330511093139648,659.7539553864473,5.0,8.634514805083658e-05,1,"[0.5871258077768052, 0.6273048864653333, 0.4999028427604367, 0.7105240918699648]","[3324.9515845711517, 2219.1389441356905, 1481.0975522865647, 988.5140203528964]",Perfect_5th,"[-0.7195967390694644, 0.9321212336641782, 6.0, 3.314424444196705]",False,344.40095770009793,347.15785469999537,347.15785469999537,None,['space'],1,3.4625729804392904,None,None,1,,[0.4507846999913454],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.39572230004705,None,1650620450.0066657,1650620451.211373,1.204707384109497,1414.213562373095,-4.0,3.1820655351395835e-05,1,"[0.5690814747480784, 0.5690814747480784, 0.5690814747480784, 0.5690814747480784]","[280.6155120773433, 420.4482076268573, 629.9605249474366, 943.8743126816935]",Perfect_5th,"[8.0, 8.211586807684622, 7.0, 3.0]",False,350.55343799991533,353.30593229993246,353.30593229993246,None,['space'],1,3.3295773200225085,None,None,1,,[0.36963520012795925],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2864415999502,None,,,,4037.7424917037656,-3.913313552744004,5.5148878636775425e-05,0,"[0.40673749982817886, 0.6294496184891459, 0.7591846955922213, 0.70356495725646]","[213.26755701456528, 157.96040812589206, 4686.010644540394, 2029.2347248452663]",None,"[9.25797861941169, 5.0, -1.825371943492379, 1.7287990404199483]",False,355.29494219995104,358.1073288000189,358.1073288000189,359.3108427999541,None,0,3.533286160090938,4.5657579600811005,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.87693620007485,None,,,,628.8360244175573,5.0,9.13079440143995e-05,1,"[0.7151319990008956, 0.6976860764983523, 0.7510340271657321, 0.6835740059663913]","[249.55374166898275, 314.4180122087787, 396.1418720479435, 499.10748333796545]",Major_3rd,"[8.840291789389005, 7.399046871854939, 8.0, 9.163747023797914]",False,360.88772689993493,364.0995853000786,364.0995853000786,None,['space'],1,3.8730934602208436,None,['space'],0,[-4.1455227001570165],[0.4705862000118941],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.269130300032,None,,,,,,,,"[0.6442982213005857, 0.6442982213005857, 0.6442982213005857, 0.6442982213005857]","[1794.326648070628, 1424.158004360944, 1130.354957145747, 897.163324035314]",Major_3rd,"[3.0, 6.208779135391241, 4.902815181024003, 2.835141011822397]",True,366.2902418000158,369.2514214999974,369.2514214999974,370.4790302000474,None,1,3.593788060126826,4.6236820600461215,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.9295544999186,None,1650620472.5998602,1650620474.0728672,1.4730069637298584,8000.0,-4.0,0.00011454338263838867,1,"[0.6592618517327061, 0.6348311449178343, 0.7138617399100557, 0.4486867150480367]","[1587.4010519681997, 2378.4142300054423, 3563.5948725613575, 5339.359416680138]",Perfect_5th,"[5.022211870740859, 0.3938950762819644, -1.0852869259872637, -1.3539693998841358]",False,373.41683169989847,376.4530309000984,376.4530309000984,None,['space'],1,3.498805400216952,None,None,1,,[0.36303899995982647],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.29471369995736,None,1650620478.9669027,1650620480.705674,1.7387712001800537,500.0,1.0,8.01622695345021e-05,0,"[0.5499114805151362, 0.7052552303943548, 0.7169730351928473, 0.711513415380872]","[574.3255338830387, 901.9994935745864, 1670.335988176817, 524.5396249029694]",None,"[8.264041947905532, 2.8793151476970755, 5.0, 9.0]",False,380.0487065000925,383.0567097000312,383.0567097000312,384.26120089995675,None,0,3.697757880203426,4.725378980394453,['space'],0,[0.592974100029096],,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.80105559993535,None,,,,154.04872667933057,2.4209904810587295,0.0006132890705885059,1,"[0.434239568321386, 0.5210097944328766, 0.5227324810450642, 0.6130287628208042]","[350.88832735239725, 229.77585934338737, 7688.387539887829, 334.20226124749087]",None,"[7.337220816308567, 9.192667839365058, -2.0, 7.234734021061623]",False,385.815152999945,388.32670650002547,388.32670650002547,None,['space'],1,3.107681760098785,None,None,1,,[0.3697387999854982],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.34328519995324,None,,,,,,,,"[0.5286089910693328, 0.5286089910693328, 0.5286089910693328, 0.5286089910693328]","[2421.5534090346428, 4757.889994789597, 173.73655975329777, 4714.427920561619]",None,"[0.12274927998099194, -1.825371943492379, 7.0, -1.825371943492379]",True,390.35050359996967,392.9700162000954,392.9700162000954,None,['space'],0,3.146425459999591,None,None,1,,[0.5340175998862833],0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0774940000847,None,,,,125.99584754685151,-1.4221958242828523,0.0006060376831168747,0,"[0.6940345635511791, 0.6940345635511791, 0.6940345635511791, 0.6940345635511791]","[337.7875765068594, 4856.5432666578345, 576.899095117726, 307.91941676582286]",None,"[7.234734021061623, -1.6305854542215412, 8.264041947905532, 7.399046871854939]",False,395.084543999983,398.2080568000674,398.2080568000674,399.4387598000467,None,0,3.814059560187161,4.8344133601058275,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.93214239994995,None,1650620501.5885582,1650620503.735141,2.146582841873169,1515.7165665103996,-3.0,3.5135546789290564e-05,0,"[0.7494674256000329, 0.45317818273970556, 0.5240871157530897, 0.6425123099619926]","[573.8910185261175, 2281.7084972787065, 184.14862470828362, 3129.176448563198]",None,"[8.264041947905532, 0.3938950762819644, 8.0, -0.41565361304880266]",False,403.079749800032,405.8337000000756,405.8337000000756,407.05458260001615,None,0,3.410020180279389,4.431903880089521,['space'],0,[-5.592117500025779],,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.5234781000763,None,,,,5746.179782638727,-3.1164168586801693,8.747550505104433e-05,1,"[0.7547913085951881, 0.7842021500265256, 0.5761904328217176, 0.4950069474992516]","[1140.1864789698895, 1708.349470399691, 2559.632101278388, 3835.1148915461395]",Perfect_5th,"[4.902815181024003, 4.0, 0.0, -1.4686279785677971]",False,408.52763890009373,411.66335380007513,411.66335380007513,None,['space'],1,3.621094160247594,None,None,1,,[0.535175499971956],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.19892939995043,None,,,,1368.1089458890049,3.964739542987289,8.141281532674407e-05,0,"[0.7267580536751677, 0.7267580536751677, 0.7267580536751677, 0.7267580536751677]","[861.8546297375215, 967.3991130400947, 1085.8687899556553, 1218.8465061688453]",Tone,"[2.835141011822397, 3.0, 4.059225165054532, 5.652799643408654]",False,416.17797200009227,419.3992618001066,419.3992618001066,420.59928629989736,None,0,3.9439968599472195,4.94852485996671,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.145409299992,None,1650620522.8105645,1650620525.4806843,2.6701197624206543,574.3491774985172,-4.0,3.7760398549436506e-05,0,"[0.792397105617782, 0.792397105617782, 0.792397105617782, 0.792397105617782]","[5837.052561176225, 149.64344696161444, 2351.338895510482, 2916.806929402407]",None,"[-1.0, 4.0, 0.3938950762819644, -0.1909083371422149]",False,424.8263338000979,428.22574170003645,428.22574170003645,429.4290998999495,None,0,4.1981300404295325,5.206934540532529,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0482139000669,None,,,,,,,,"[0.5340012079104195, 0.5340012079104195, 0.5340012079104195, 0.5340012079104195]","[369.72793932985905, 4827.4372527741225, 2570.552739355562, 340.12512179038464]",None,"[7.693636570531561, -1.6305854542215412, 0.0, 7.234734021061623]",True,431.06409229990095,433.6862647999078,433.6862647999078,434.89327060012147,None,1,3.178063460160047,4.191042960155755,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.26619719993323,None,,,,5498.543135697587,-3.1164168586801693,9.385434468838948e-05,0,"[0.402086392787624, 0.402086392787624, 0.402086392787624, 0.402086392787624]","[7408.61656741394, 2698.6867416870223, 1167.1536796809078, 198.33202809343643]",None,"[-1.9224556041955818, -0.03000906409819315, 5.0, 8.973732267488668]",False,436.26169950002804,438.5085154999979,438.5085154999979,439.7098600999452,None,0,2.6455260599032044,3.658364459872246,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.93382799997926,None,1650620541.5960724,1650620543.0382032,1.4421308040618896,3249.0095854249403,-5.0,3.9789718818038276e-05,1,"[0.7511693967595647, 0.7250764965337856, 0.692810115333977, 0.5128223699729272]","[5157.481233758315, 4594.793419988138, 4093.4955679870977, 3646.8899542328654]",Tone,"[-1.3539693998841358, -1.825371943492379, -1.7450720210032946, -1.4686279785677971]",False,442.3859009000007,445.5808955999091,445.5808955999091,None,['space'],1,3.711228980217129,None,None,1,,[0.4793591001071036],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.60109329991974,None,1650620548.2724996,1650620552.0210292,3.7485296726226807,1414.213562373095,-2.0,4.005983164181629e-05,0,"[0.7078474632901963, 0.7078474632901963, 0.7078474632901963, 0.7078474632901963]","[2244.9240966187467, 2000.0000000000005, 1781.797436280679, 1587.4010519681997]",Tone,"[0.3938950762819644, 1.7287990404199483, 3.9476880217548187, 5.022211870740859]",False,451.36906550009735,454.51795000000857,454.51795000000857,455.73370270011947,None,0,3.8689303004648536,4.879546200623736,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.2684216001071,None,,,,368.71765417583487,5.481551428288473,0.00015916061311157585,0,"[0.41666173429893594, 0.464985006687542, 0.5770593845528077, 0.7027168536978041]","[1002.8309688675729, 5357.571630417137, 6748.450258472654, 2718.8847524906864]",None,"[3.314424444196705, -1.3539693998841358, -1.4208264158412334, -0.03000906409819315]",False,457.2673039000947,459.7606977999676,459.7606977999676,460.97252600011416,None,0,3.188065460184589,4.215123360045254,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.4952605001163,None,,,,2607.6716856683424,-2.371623868154916,6.0279269682800624e-05,0,"[0.5295294846728666, 0.5295294846728666, 0.5295294846728666, 0.5295294846728666]","[517.4275971272018, 775.265430546983, 1161.585681046392, 1740.4120463104289]",Perfect_5th,"[9.0, 4.0, 5.0, 3.9476880217548187]",False,462.50185060012154,465.12932910001837,465.12932910001837,466.36014329991303,None,0,3.1530251600779593,4.181059960043058,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.7008515999187,None,1650620568.367469,1650620570.1200242,1.7525551319122314,2000.0,-1.0,6.667607160816621e-05,0,"[0.5484766318578429, 0.6950287147912682, 0.5964227084402232, 0.5440642016551724]","[2933.106579077681, 162.7485161304465, 338.9971000243098, 132.15115723482924]",None,"[-0.41565361304880266, 5.989536451728783, 7.234734021061623, 1.922254749025186]",False,469.46774909994565,472.3379196000751,472.3379196000751,473.5526910999324,None,0,3.402542400173843,4.4152084002271295,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.89351490000263,None,,,,,,,,"[0.7583212734260122, 0.6821785069081183, 0.4453900799266533, 0.48532055096207083]","[265.4092009198749, 334.3946390747281, 421.3108447422486, 530.8184018397498]",Major_3rd,"[8.326813114499995, 7.234734021061623, 8.715675910554989, 8.89347349739519]",True,474.890883800108,477.8050422000233,477.8050422000233,None,['space'],0,3.3892929600551724,None,['space'],0,[-3.3074424997903407],[0.683610700070858],0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.99684010003693,None,1650620580.651804,1650620582.522715,1.8709111213684082,203.0630990890589,7.0,0.000580816115511409,0,"[0.7004250426795097, 0.7004250426795097, 0.7004250426795097, 0.7004250426795097]","[511.6869459983876, 406.1261981781179, 322.3425771098949, 255.84347299919378]",Major_3rd,"[9.0, 8.211586807684622, 7.234734021061623, 8.840291789389005]",False,481.92316429992206,485.05022690002806,485.05022690002806,486.2799253000412,None,0,3.829808220267296,4.861265520332381,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.7954957000911,None,,,,5037.335768130588,-3.671967592225198,9.918346557899452e-05,0,"[0.6722126804698161, 0.5874532197208574, 0.6029217494341099, 0.7756426417336051]","[700.5765448514906, 4415.416571916534, 6474.716842650332, 1861.5523083175387]",None,"[5.059888243962505, -1.8708373282903583, -1.090804645452339, 2.78162348863955]",False,487.8082141999621,490.6761068000924,490.6761068000924,491.89307070011273,None,0,3.648819860070944,4.669870960060507,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.49402330000885,None,1650620594.168375,1650620597.0691075,2.9007325172424316,1414.213562373095,-4.0,3.1820655351395835e-05,1,"[0.552395833227831, 0.552395833227831, 0.552395833227831, 0.552395833227831]","[282.7623299243944, 1400.7259714108372, 433.21143452975804, 1376.9999757692408]",None,"[8.0, 6.208779135391241, 8.715675910554989, 6.208779135391241]",False,496.41906969994307,499.1011105000507,499.1011105000507,None,['space'],1,3.2342907006386667,None,['space'],0,[-5.052075500134379],[0.4028371998574585],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.11610769992694,None,1650620601.7727575,1650620603.7327898,1.9600322246551514,1231.1444133449168,-1.0,4.787849028197256e-05,1,"[0.605905749902989, 0.4484807974984555, 0.6859874437443894, 0.44774689138062373]","[148.82927730052356, 3140.8119605511015, 2123.912044559742, 165.20345702316385]",None,"[4.0, -0.7195967390694644, 1.0, 6.0]",False,503.08276650006883,505.8405820000917,505.8405820000917,507.07492729998194,['space'],1,3.2156427402514964,None,None,1,,[0.864154500188306],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.190561800031,None,,,,,,,,"[0.5593398425421798, 0.5372769078619957, 0.7670853688094366, 0.4964002462318779]","[1768.4610324000741, 2228.1212806396725, 2807.2569031966455, 3536.9220648001474]",Major_3rd,"[3.9476880217548187, 0.3938950762819644, -0.1909083371422149, -1.0852869259872637]",True,508.19112670002505,511.07968580001034,511.07968580001034,None,['space'],0,3.384657160146162,None,None,1,,[0.5678489001002163],0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.1643338999711,None,,,,413.79636314630835,6.0,0.0001513394968077742,0,"[0.45175381324056485, 0.45175381324056485, 0.45175381324056485, 0.45175381324056485]","[2085.402993191908, 1391.8395136590198, 928.9414267203488, 619.994019287947]",Perfect_5th,"[1.0, 6.208779135391241, 2.8793151476970755, 7.334255130632958]",False,513.1677987000439,515.5499116999563,515.5499116999563,516.7839017999358,None,0,2.8453088600654155,3.877757460111752,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
